Drawing-Add Area Tag,,,,,,,,,,
Date,User,Path,File,Layer,Type,Points,Anno Style,Area,Dec Places,Succeeded
2018-07-26_09:30:35.20,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1560.6345531387444, 3645.2919899144831, 0.0), (1536.8202146700276, 3645.2919899144831, 0.0), (1536.8202146700276, 3568.7919899144995, 0.0), (1560.6345531387444, 3568.7919899144995, 0.0), (1560.6345531387444, 3645.2919899144831, 0.0)]",PCPA_10,12.651367311503105,0,True
2018-07-26_09:30:35.33,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2068.6349145838076, 3688.7919899144995, 0.0), (2068.6349145838076, 3764.4794899145013, 0.0), (2032.8224150336823, 3764.4794899145013, 0.0), (2032.8224150336823, 3731.6079770544852, 0.0), (2032.8224150336823, 3688.7919899144995, 0.0), (2068.6349145838076, 3688.7919899144995, 0.0)]",PCPA_10,18.82332333125099,0,True
2018-07-26_09:30:35.50,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1940.6349150336807, 3764.4794899145013, 0.0), (1868.822415843104, 3764.4794899145013, 0.0), (1868.822415843104, 3688.7919899144995, 0.0), (1940.6349150336807, 3688.7919899144995, 0.0), (1940.6349150336807, 3764.4794899145013, 0.0)]",PCPA_10,37.74519814226997,0,True
2018-07-26_09:30:35.63,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1758.8224158431019, 3764.4794899145013, 0.0), (1703.0099158431037, 3764.4794899145013, 0.0), (1703.0099158431037, 3688.7919899144995, 0.0), (1747.4154029795961, 3688.7919899144995, 0.0), (1758.8224158431019, 3688.7919899144995, 0.0), (1758.8224158431019, 3764.4794899145013, 0.0)]",PCPA_10,29.335476345485727,0,True
2018-07-26_09:30:35.75,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1560.6345531387444, 3688.7919899144995, 0.0), (1560.6345531387444, 3764.4794899145013, 0.0), (1536.8202146700276, 3764.4794899145013, 0.0), (1536.8202146700276, 3731.6079770544852, 0.0), (1536.8202146700276, 3688.7919899144995, 0.0), (1560.6345531387444, 3688.7919899144995, 0.0)]",PCPA_10,12.516998214243415,0,True
2018-07-26_09:30:35.91,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1382.9245414798777, 3688.7919899144995, 0.0), (1382.9245414798777, 3764.4794899145013, 0.0), (1330.9245414798779, 3764.4794899145013, 0.0), (1330.9245414798779, 3731.6079770544852, 0.0), (1330.9245414798779, 3688.7919899144995, 0.0), (1382.9245414798777, 3688.7919899144995, 0.0)]",PCPA_10,27.331597222222587,0,True
2018-07-26_09:30:36.6,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1204.9245414798766, 3688.7919899144995, 0.0), (1204.9245414798766, 3764.4794899145013, 0.0), (1150.0000000010866, 3764.4794899145013, 0.0), (1150.0000000010866, 3688.7919899144995, 0.0), (1183.1936205596485, 3688.7919899144995, 0.0), (1204.9245414798766, 3688.7919899144995, 0.0)]",PCPA_10,28.868758563722103,0,True
2018-07-26_09:30:36.22,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(2066.8271178711993, 3808.7919899144995, 0.0), (2066.8271178711993, 3885.2919899145022, 0.0), (2045.0146178712012, 3885.2919899145022, 0.0), (2045.0146178712012, 3856.0644381664893, 0.0), (2045.0146178712012, 3808.7919899144995, 0.0), (2066.8271178711993, 3808.7919899144995, 0.0)]",PCPA_10,11.587890624999471,0,True
2018-07-26_09:30:36.44,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1776.45185681372, 3808.7919899144995, 0.0), (1776.45185681372, 3885.2919899145022, 0.0), (1704.6393568137207, 3885.2919899145022, 0.0), (1704.6393568137207, 3808.7919899144995, 0.0), (1747.4154029795959, 3808.7919899144995, 0.0), (1776.45185681372, 3808.7919899144995, 0.0)]",PCPA_10,38.150390625001016,0,True
2018-07-26_09:30:36.60,wanrsqjwdptgkljcpwqu,,,8_DRAWING,curve,"[(1588.6393568137205, 3885.2919899145022, 0.0), (1556.8268568137216, 3885.2919899145022, 0.0), (1556.8268568137216, 3808.7919899144995, 0.0), (1588.6393568137205, 3808.7919899144995, 0.0), (1588.6393568137205, 3885.2919899145022, 0.0)]",PCPA_10,16.900390624999929,0,True
